id,price_doc
30474,5364509.10938
30475,8988908.56875
30476,5401674.21094
30477,6679402.1125
30478,4811363.4375
30479,7669383.88063
30480,4119953.14375
30481,4590691.44375
30482,4967194.1375
30483,4879118.76016
30484,5732626.82062
30485,4612863.675
30486,3934793.34625
30487,4264617.2625
30488,7487807.61094
30489,6766551.07734
30490,17991509.6438
30491,15231050.7891
30492,6428740.23438
30493,12904235.1047
30494,7347113.5
30495,10174787.7
30496,9748951.26562
30497,9113406.6375
30498,4467846.09375
30499,8631859.22812
30500,10384266.2188
30501,6431061.3875
30502,3080570.5
30503,5907565.9125
30504,5584970.3875
30505,11779774.0237
30506,3617965.40625
30507,4728467.84375
30508,5382853.34297
30509,7346548.48594
30510,8634432.35391
30511,6374633.30156
30512,6050705.1875
30513,4156868.75625
30514,4768000.97719
30515,8517309.35
30516,6107739.76313
30517,9682723.17625
30518,5720319.675
30519,4422618.0375
30520,5958875.71375
30521,5429832.92031
30522,8034425.99148
30523,5729845.51875
30524,9162478.6875
30525,9509115.625
30526,4645037.93359
30527,5596501.5
30528,5594084.19844
30529,6112593.2
30530,5660334.88594
30531,12173879.1281
30532,5290934.85938
30533,9132604.125
30534,7292280.87812
30535,8436138.3825
30536,5938881.84375
30537,10639517.0297
30538,4375484.64375
30539,9991384.52812
30540,8608147.98766
30541,6578505.3125
30542,2386967.61562
30543,4975502.8125
30544,7723155.18516
30545,7952613.87812
30546,4495509.59453
30547,9119794.09063
30548,5243501.00938
30549,5160235.89141
30550,10735422.1687
30551,5083671.00469
30552,2327759.76234
30553,7023754.4
30554,10995127.1547
30555,6424875.1875
30556,7606091.00797
30557,8818248.50156
30558,7962720.1875
30559,5974968.24375
30560,5319059.29688
30561,6433048.02656
30562,10200736.65
30563,4830080.625
30564,6898879.96875
30565,8675838.975
30566,7949156.96719
30567,2372377.19063
30568,9105502.925
30569,9113580.78125
30570,5841650.71406
30571,6473129.76562
30572,4681940.52812
30573,5676733.47656
30574,6220796.69062
30575,6308583.98438
30576,4287080.63125
30577,4454983.54844
30578,3686447.115
30579,6631949.00937
30580,4768180.23281
30581,4709757.37656
30582,10466321.0891
30583,7280217.04688
30584,4035463.12813
30585,2763483.15117
30586,9171513.57672
30587,6834745.08906
30588,6800704.21875
30589,7855286.4625
30590,12629323.8688
30591,5128942.275
30592,6697962.10938
30593,9685813.40125
30594,8685093.05156
30595,4984437.83438
30596,8907290.68906
30597,5680107.52031
30598,8703764.685
30599,12093600.4031
30600,6138623.03125
30601,5436542.2125
30602,2379772.9875
30603,12158078.4087
30604,4462682.525
30605,5998159.55156
30606,20223829.7812
30607,6811944.4125
30608,9196993.56094
30609,6899639.02031
30610,2854977.46875
30611,5382241.425
30612,7251258.55625
30613,7657281.41031
30614,15726907.3063
30615,7184392.96875
30616,5446644.57812
30617,8105162.46562
30618,4646998.47656
30619,4532283.10234
30620,3466023.33516
30621,8384493.23438
30622,8184224.26562
30623,6099004.9875
30624,7464610.325
30625,7921107.07734
30626,6312224.31875
30627,7913788.10625
30628,5717507.66531
30629,4844044.63594
30630,5060954.02266
30631,5933878.00156
30632,4387845.57812
30633,5809427.69219
30634,10700009.1953
30635,8711941.8375
30636,5361548.9
30637,8800492.46438
30638,5276440.86719
30639,7619956.65
30640,5260118.175
30641,8558525.95312
30642,5873792.53906
30643,8459422.975
30644,8816369.975
30645,7472000.17188
30646,5465804.62187
