id,price_doc
30474,5208201.31
30475,8052882.615
30476,5152728.935
30477,5672232.31
30478,4874975.81
30479,8982416.95
30480,4111868.42
30481,4095441.318
30482,4622639.135
30483,4580848.915
30484,6193914.445
30485,4771377.75
30486,3477067.423
30487,3754154.595
30488,5903596.015
30489,6003501.305
30490,22325704.36
30491,19149678.98
30492,5611744.43
30493,12869638.4
30494,6602089.495
30495,10362630.65
30496,8610690.65
30497,8164580.89
30498,4454238.185
30499,7929660.18
30500,11018357.33
30501,6705305.255
30502,3009811.643
30503,6445426.52
30504,5572936.855
30505,10822783.24
30506,3224921.84
30507,4596892.96
30508,5194652.64
30509,7374663.295
30510,9017902.26
30511,6449418.985
30512,6137321.305
30513,4109517.578
30514,3393557.363
30515,9512755.56
30516,5685679.54
30517,10878563.79
30518,8362955.985
30519,4340818.28
30520,6854195.155
30521,5839142.96
30522,7369209.95
30523,6317540.015
30524,10498017.93
30525,11188257.18
30526,4753789.635
30527,4763100.69
30528,6622326.765
30529,6545637.8
30530,6037250.125
30531,14338876.42
30532,4667364.455
30533,10386528.25
30534,6473811.655
30535,9312636.89
30536,5681999.03
30537,11471558.36
30538,4755399.265
30539,8874378.33
30540,9436213.62
30541,5793087.85
30542,2022919.825
30543,5482408.615
30544,6519545.58
30545,8341534.365
30546,4041504.263
30547,9614524.78
30548,4352669.235
30549,4909290.71
30550,11958288.72
30551,4995270.495
30552,1736079.84
30553,7163380.99
30554,10758734.06
30555,6068365.42
30556,8855063.73
30557,7261779.19
30558,9181493.1
30559,6179224.65
30560,6052325.605
30561,6635619.81
30562,11973546.43
30563,4845623.96
30564,7015360.075
30565,6319276.48
30566,6841990.115
30567,1869024.267
30568,9625176.76
30569,9704070.28
30570,6562170.225
30571,7286069.605
30572,4718926.185
30573,6368560.875
30574,5963754.465
30575,7466937.875
30576,4726207.495
30577,4008552.653
30578,3151392.75
30579,6857859.675
30580,4451473.615
30581,5374268.915
30582,12502473.69
30583,6731786.94
30584,4281392.285
30585,2384315.673
30586,9137456.25
30587,5579002.16
30588,7598086.595
30589,7195800.89
30590,12148557.66
30591,5110229.78
30592,6285107.955
30593,8033332.435
30594,6687048.165
30595,5427932.565
30596,6203680.395
30597,6353141.725
30598,9369311.01
30599,10299101.66
30600,4981742.38
30601,5818474.045
30602,1625110.348
30603,11907239.45
30604,4414487.415
30605,6559409.42
30606,24596085.22
30607,6434859.845
30608,8451965.24
30609,6006552.875
30610,2937925.408
30611,5257507.675
30612,7033075.46
30613,8572590.6
30614,16226691.47
30615,7264990.89
30616,5383805.01
30617,9081329.48
30618,4771322.695
30619,4194593.118
30620,2469087.583
30621,8758612.62
30622,7505608.175
30623,6114949.175
30624,6649906.955
30625,7878531.435
30626,6000320.96
30627,7023545.41
30628,6246626.525
30629,5169046.75
30630,4641356.69
30631,5960601.75
30632,3949744.298
30633,5629714.315
30634,11219183.35
30635,9407981.69
30636,5181090.555
30637,9402670.16
30638,5785632.37
30639,7399922.78
30640,4457106.665
30641,7857511.915
30642,6354368.58
30643,7664425.84
30644,9349844.51
30645,7106781.16
30646,5110367.25
30647,4600701.245
30648,23469879.64
30649,2027802.41
30650,4846126.58
30651,3331895.993
30652,4322166.64
30653,7105426.43
30654,4249327.255
30655,12804366.58
30656,3832577.473
30657,6174465.975
30658,10763484.8
30659,4593105.1
30660,8287748.82
30661,6461047.2
30662,8107780.525
30663,16284142.6
30664,11785727.59
30665,5949075.665
30666,2494853.81
30667,3993697.29
30668,8875941.54
30669,4679195.845
30670,2390428.998
30671,6972518.57
30672,15571411.69
30673,10211203.99
30674,11330633.44
30675,1983627.045
30676,6589299.885
30677,4011072.575
30678,19063660.46
30679,5623406.93
30680,4926004.44
30681,2322647.853
30682,8617980.05
30683,9415822.8
30684,4631806.815
30685,7426147.09
30686,9326938.86
30687,4901022.365
30688,4281579.135
30689,13938010.2
30690,25284916.8
30691,4302727.69
30692,5877565.19
30693,10989648.35
30694,5407192.345
30695,6862767.16
30696,6427519.66
30697,11935041.69
30698,7398241.105
30699,5774400.965
30700,4794958.255
30701,9349844.51
30702,5946706.63
30703,3684683.21
30704,11385427.93
30705,8790176.03
30706,23860267.32
30707,3480584.718
30708,13486778.82
30709,5820354.335
30710,6673931.045
30711,4425131.45
30712,3832513.538
30713,6187830.925
30714,6890267.37
30715,3765055.473
30716,9415006.8
30717,5938024.565
30718,8228205.1
30719,14171705.15
30720,7129616.445
30721,4493033.325
30722,6968607.51
30723,5954473.255
30724,11951973.88
30725,6607893.33
30726,11340978.88
30727,9541279.62
30728,11297999.86
30729,3256888.703
30730,6148627.12
30731,6225101.135
30732,4283229.44
30733,9576499.67
30734,6838887.34
30735,5342191.46
30736,5294097.38
30737,6471782.83
30738,5905488.355
30739,4086256.658
30740,6666661.005
30741,11258915.77
30742,3994381.01
30743,4822857.82
30744,9245001.11
30745,6723841.47
30746,5528045.75
30747,14246024.5
30748,16381359.84
30749,4631695.18
30750,6374449.035
30751,3089610.993
30752,7141666.52
30753,9686633.19
30754,5376501.505
30755,4831549.55
30756,6072668.265
30757,5187097.495
30758,10362698.97
30759,5772454.63
30760,4523240.205
30761,9557994.94
30762,6671563.58
30763,11823787.46
30764,5920370.42
30765,5847251.93
30766,3356192.818
30767,9723395.76
30768,4217216.96
30769,6955782.815
30770,5884707.38
30771,2801773.668
30772,8221588.555
30773,7952627.58
30774,5463815.83
30775,12009632.1
30776,5711214.88
30777,6004560.795
30778,8764707.84
30779,6406414.135
30780,7355700.715
30781,6441185.135
30782,5165792.035
30783,5450968.01
30784,3500355.985
30785,5157191.555
30786,4078985.395
30787,6007447.81
30788,5561257.07
30789,7331940.07
30790,6179927.83
30791,9906759.77
30792,6933689.515
30793,11478845.44
30794,13320703.34
30795,11115465.73
30796,11800522.61
30797,14514955.77
30798,2523512.91
30799,10465785.47
30800,13477871.07
30801,6027537.19
30802,19993770.32
30803,2606659.993
30804,3469335.573
30805,15028265.22
